# IP addresses taken from the NSO list generated by Amnesty from https://raw.githubusercontent.com/AmnestyTech/investigations/master/2018-08-01_nso/indicators.csv
# "Number","IP address","Rating", "Description"
"245","5.102.146.184","100","NSO IP by Amnesty"
"246","31.3.232.126","100","NSO IP by Amnesty"
"247","195.12.50.177","100","NSO IP by Amnesty"
"248","185.156.173.70","100","NSO IP by Amnesty"
"249","185.198.57.144","100","NSO IP by Amnesty"
"250","217.112.131.90","100","NSO IP by Amnesty"
"251","188.215.229.205","100","NSO IP by Amnesty"
"252","185.225.68.205","100","NSO IP by Amnesty"
"253","5.102.145.37","100","NSO IP by Amnesty"
"254","217.112.131.111","100","NSO IP by Amnesty"
"255","185.117.89.231","100","NSO IP by Amnesty"
"256","185.94.192.106","100","NSO IP by Amnesty"
"257","88.150.227.117","100","NSO IP by Amnesty"
"258","185.198.58.195","100","NSO IP by Amnesty"
"259","88.150.227.99","100","NSO IP by Amnesty"
"260","84.38.129.195","100","NSO IP by Amnesty"
"261","185.117.89.220","100","NSO IP by Amnesty"
"262","155.94.160.126","100","NSO IP by Amnesty"
"263","5.102.147.250","100","NSO IP by Amnesty"
"264","109.200.24.10","100","NSO IP by Amnesty"
"265","5.102.146.72","100","NSO IP by Amnesty"
"266","103.199.16.153","100","NSO IP by Amnesty"
"267","185.225.68.141","100","NSO IP by Amnesty"
"268","185.117.72.113","100","NSO IP by Amnesty"
"269","185.141.27.116","100","NSO IP by Amnesty"
"270","217.112.131.20","100","NSO IP by Amnesty"
"271","5.102.146.241","100","NSO IP by Amnesty"
"272","185.141.26.39","100","NSO IP by Amnesty"
"273","91.219.238.77","100","NSO IP by Amnesty"
"274","185.225.68.126","100","NSO IP by Amnesty"
"275","185.82.200.187","100","NSO IP by Amnesty"
"276","103.199.17.206","100","NSO IP by Amnesty"
"277","103.199.16.88","100","NSO IP by Amnesty"
"278","89.249.65.146","100","NSO IP by Amnesty"
"279","185.198.58.151","100","NSO IP by Amnesty"
"280","200.7.97.242","100","NSO IP by Amnesty"
"281","185.225.68.131","100","NSO IP by Amnesty"
"282","173.254.248.105","100","NSO IP by Amnesty"
"283","185.183.97.196","100","NSO IP by Amnesty"
"284","46.21.147.14","100","NSO IP by Amnesty"
"285","191.101.31.29","100","NSO IP by Amnesty"
"286","185.94.191.114","100","NSO IP by Amnesty"
"287","66.85.157.84","100","NSO IP by Amnesty"
"288","200.7.97.212","100","NSO IP by Amnesty"
"289","191.101.31.118","100","NSO IP by Amnesty"
"290","185.198.58.178","100","NSO IP by Amnesty"
"291","188.215.229.214","100","NSO IP by Amnesty"
"292","185.198.58.177","100","NSO IP by Amnesty"
"293","185.183.97.194","100","NSO IP by Amnesty"
"294","5.102.147.105","100","NSO IP by Amnesty"
"295","5.149.250.18","100","NSO IP by Amnesty"
"296","185.117.89.252","100","NSO IP by Amnesty"
"297","80.211.254.70","100","NSO IP by Amnesty"
"298","185.117.89.253","100","NSO IP by Amnesty"
"299","185.106.120.35","100","NSO IP by Amnesty"
"300","185.106.120.34","100","NSO IP by Amnesty"
"301","5.102.146.123","100","NSO IP by Amnesty"
"302","185.117.75.165","100","NSO IP by Amnesty"
"303","185.141.26.49","100","NSO IP by Amnesty"
"304","88.150.138.111","100","NSO IP by Amnesty"
"305","185.225.68.68","100","NSO IP by Amnesty"
"306","185.183.97.117","100","NSO IP by Amnesty"
"307","5.102.147.172","100","NSO IP by Amnesty"
"308","8.28.175.73","100","NSO IP by Amnesty"
"309","185.225.68.198","100","NSO IP by Amnesty"
"310","5.102.146.128","100","NSO IP by Amnesty"
"311","5.102.146.116","100","NSO IP by Amnesty"
"312","5.102.145.8","100","NSO IP by Amnesty"
"313","185.81.113.81","100","NSO IP by Amnesty"
"314","89.33.246.113","100","NSO IP by Amnesty"
"315","149.255.35.106","100","NSO IP by Amnesty"
"316","23.227.207.174","100","NSO IP by Amnesty"
"317","185.183.96.140","100","NSO IP by Amnesty"
"318","5.102.147.219","100","NSO IP by Amnesty"
"319","185.117.75.169","100","NSO IP by Amnesty"
"320","185.94.189.214","100","NSO IP by Amnesty"
"321","217.112.131.106","100","NSO IP by Amnesty"
"322","185.193.38.159","100","NSO IP by Amnesty"
"323","5.102.145.98","100","NSO IP by Amnesty"
"324","188.215.229.212","100","NSO IP by Amnesty"
"325","185.77.129.103","100","NSO IP by Amnesty"
"326","217.112.131.95","100","NSO IP by Amnesty"
"327","185.77.131.103","100","NSO IP by Amnesty"
"328","88.119.179.176","100","NSO IP by Amnesty"
"329","217.112.131.91","100","NSO IP by Amnesty"
"330","46.21.150.144","100","NSO IP by Amnesty"
"331","5.149.255.18","100","NSO IP by Amnesty"
"332","185.198.57.43","100","NSO IP by Amnesty"
